8.300000000000000000e+01,-7.349999999999999867e-01,-1.149000000000000021e+00,4.600000000000000200e-01
1.190000000000000000e+02,-8.500000000000000611e-02,-1.155000000000000027e+00,2.429999999999999938e-01
8.000000000000000000e+01,-5.600000000000000533e-01,-1.086999999999999966e+00,6.490000000000000213e-01
6.500000000000000000e+01,-1.529999999999999971e-01,-1.004000000000000004e+00,8.469999999999999751e-01
7.500000000000000000e+01,1.610000000000000042e-01,-9.929999999999999938e-01,8.820000000000000062e-01
7.900000000000000000e+01,-2.089999999999999913e-01,-1.282999999999999918e+00,1.800000000000000044e+00
7.200000000000000000e+01,3.459999999999999742e-01,-9.939999999999999947e-01,1.881000000000000005e+00
5.200000000000000000e+01,1.165000000000000036e+00,-3.689999999999999947e-01,1.885000000000000009e+00
5.800000000000000000e+01,1.272000000000000020e+00,2.030000000000000138e-01,2.096999999999999975e+00
6.600000000000000000e+01,1.252999999999999892e+00,2.780000000000000249e-01,2.035000000000000142e+00
5.500000000000000000e+01,1.417000000000000037e+00,-4.100000000000000172e-02,2.298000000000000043e+00
6.800000000000000000e+01,1.110000000000000098e+00,4.020000000000000240e-01,2.200000000000000178e+00
5.700000000000000000e+01,1.370999999999999996e+00,2.000000000000000111e-01,2.169999999999999929e+00
6.500000000000000000e+01,1.221000000000000085e+00,3.400000000000000244e-01,2.104000000000000092e+00
6.800000000000000000e+01,1.411999999999999922e+00,2.349999999999999867e-01,1.925999999999999934e+00
6.300000000000000000e+01,1.471999999999999975e+00,4.050000000000000266e-01,2.161000000000000032e+00
6.400000000000000000e+01,1.417999999999999927e+00,1.340000000000000080e-01,2.250000000000000000e+00
6.600000000000000000e+01,1.239999999999999991e+00,5.000000000000000104e-03,2.245999999999999996e+00
5.100000000000000000e+01,1.475999999999999979e+00,-9.819999999999999840e-01,2.310000000000000053e+00
